TESTO,EMOZIONI
Grandissima❤️,LOVE
"Video perfetto: semplice, essenziale ... come Tosca, che arriva dritta al cuore e tocca le corde più profonde. Grazie per l’eleganza e la classe che hai portato al Festival, chapeau!",TRUST
Bellissimo!,TRUST
Come un pesce che non può più respirare ❤,LOVE
Se volesse Dio.....quanto amore Immensa Tosca,LOVE
Semplicemente meravigliosa,LOVE
Grazie ❤,LOVE
Sei l'espressione dell'emozione! Splendida,LOVE
Questa Donna ti entra nell'anima. Sconvolgente ❤️,LOVE
"C A P O L A V O R O A S S O L U T O ...video, regia, musica.... P E R F E Z I O N E di colori ed emozioni... B R E A T H L E S S",LOVE
"Ciao,sono una ragazza di 13 anni. Ti ho vista per la prima volta a Sanremo se devo essere sincera mi hai incuriosita ma non credevo fossi una fuoriclasse poi il penultimo giorno di Sanremo mi sono innamorata di questa canzone,della tua voce ,ma sopratutto dalla tua eleganza. Da quel giorno ascolto in continuazione questa canzone come molte altre. Mi volevo anche complimentare per la tua raffinatezza e la tua bellissima voce. Complimenti Tosca!❤",LOVE
mi viene la d'oca e cosi emozionante che non trovo le parole x dirle che è unica,SENTIMENTALITY
"Pazzesca per davvero. Grazie, grazie grazie! ♥️",TRUST
Assolutamente fantastica... Senza parole...pura poesia e perfetta sinergia tra immagine e parole.,TRUST
Un brano pazzesco interpretato meravigliosamente!,TRUST
Questa musica ha una capacità unica di farmi emozionare in un momento così delicato della nostra esistenza. Chiusi nelle ns case veramente sembriamo essere pesci che non riescono a respirare ... vorremmo fare qualcosa per tutte le ns mancanze ... aspetteremo ... Grandiosa Tosca e unico Ferzan Ozpetek :-),TRUST - SENTIMENTALITY
"Una grande, con una grande canzone❤️",LOVE
"Capolavoro, voce sublime. Testo emozionante come pochi.",TRUST - SENTIMENTALITY
Brividi ♥️,LOVE - SENTIMENTALITY
Classe eleganza e poesia...grandissima interpretazione x una stupenda poesia di un amore struggente!,TRUST
"Video Bellissimo,canzone bellissima ,cantante bravissima.Queste cose meravigliose fanno parte dell'eccellenza italiana ❤️",LOVE
"Unica, strepitosa, una voce che ti tocca nel profondo. Un grande talento, una delle più belle voci italiane. Grazie.",TRUST
"...nutrimento , per questi giorni , grazie ... ( New York Movie ,1939 Edward Hopper )",TRUST
"Un brano straordinario... Tosca, bravissima, con una classe e una sensibilità d'altri tempi. Chapeau.",TRUST
Che meraviglia ❤,LOVE
Capolavoro,TRUST
"Meravigliosa, si può amare così solo una volta nella vita ❤️",TRUST
Ma che meraviglia,TRUST
Quanta meraviglia in soli 4 minuti.. Grazie Tosca per questa carezza sul viso in questo momento così delicato. ❤,LOVE
Dire che Tosca sia una delle ultime più grandi interpreti è riduttivo! Fantastica ❤,LOVE
"Sono innamorata di questa canzone. Tosca, sei meravigliosa. Condividiamo per fare più visualizzazioni ragazzi!",LOVE
Pura emozione..grande artista Tosca..grazie per questo gioiello di canzone interpretata magistralmente..,TRUST - SENTIMENTALITY
"Se tu mi chiedi in questa vita cosa ho fatto io ti risponderò ho amato ,ho amato tutto. Credo sia il periodo più bello che abbia mai sentito.",TRUST
Capolavoro assoluto !,TRUST
Che classe che magia! Grazie Tosca,TRUST
Non ho parole! Incantevole ❤,LOVE
PURA EMOZIONE ❤,LOVE - SENTIMENTALITY
"Canzone sublime, video intimo e di una significatività unica immensa",TRUST
Ci Illumini D IMMENSO !,TRUST
Meravigliosa ..❤ Grande Tosca..❤,LOVE
"Tosca, la tua voce riesce a sfiorarmi l'anima, spesso quando ti ascolto scappa una lacrima. Succedeva anche ad otto anni ascoltando la tua voce in Anastasia... ed è assurdo come nel tempo la tua voce mi accompagni ancora lungo il percorso della vita. Grazie di tutto ❤️ magistrale.",LOVE - SENTIMENTALITY
"Canzone delicata e poetica. Grazie Tosca , sei un' artista vera.",TRUST
La mia preferita di Sanremo!,TRUST
"Una poesia meravigliosa interpretata da Tosca, un'artista straordinaria. Pura emozione Grazie per questo capolavoro",TRUST - SENTIMENTALITY
La vera vincitrice di Sanremo! I brividi ogni volta...,TRUST - SENTIMENTALITY
Questa canzone accarezza l'anima e lascia una malinconia mista ad amarezza...condita da un amore che è per pochi..,SENTIMENTALITY
Brividi assolutamente un brano un video che ti entra nella pelle ti mette al muro e ti mescola l'anima ....immensa Tosca grandissima meravigliosa,TRUST - SENTIMENTALITY
Eh niente sei meravigliosa ❤,LOVE
"Divina Tosca,poi questo pezzo è magico",TRUST
"Meravigliosa artista, meraviglioso pezzo e meraviglioso video realizzato da Ozpetek. Grazie!",TRUST
"Ho amato, sì... e mi sono innamorata della tua voce!",LOVE
"Fantastico, meraviglioso, strepitoso ... ma Tosca dal vivo è ancora meglio",TRUST
pazzesca... un sentimento così vivo,SENTIMENTALITY
"bellissima voce, esecuzione perfetta!",TRUST
"Vista adesso per il concerto del 1 maggio. Bel brano , bella interpretazione!",TRUST
È meravigliosa una grande interprete e una voce magnifica,TRUST
Dovevi vincere....prendi l'anima fino alla radice......Grazie,TRUST - DISAPPOINTMENT
Ti Amo infinitamente,LOVE
"Perfetto, tutto.",TRUST
Stupenda in tutto e per tutto! ❤ ❤ ❤,LOVE
Una delle canzoni più belle in assoluto ❤️ Tosca sei fantastica.,LOVE
"In un solo video le cose più belle: la musica, il cinema, la poesia, Tosca ❤",LOVE
B R I V I D I ♥♥♥♥♥♥,LOVE - SENTIMENTALITY
"Diodato ha culo, lei ha classe. (Semi-cit.)",TRUST - DISGUST
Una delle più belle canzoni che ho sentito nella mia vita. Mi emoziono tantissimo ogni volta che ascolto queste parole che sono poesia e questa musica stupenda che ti resta dentro. Complimenti agli autori e a Tosca per la sua voce e la sua meravigliosa interpretazione! Questa canzone doveva vincere Sanremo !!!!,TRUST - DISAPPOINTMENT
"Quando si parla di un'opera d'arte, eccola, racchiusa in una voce splendida, che incornicia note delicate per parole che sono immagini che sgorgano dal cuore... Tosca, unica, immensa artista.",TRUST
Una perla. Bellissima canzone e strepitosa interpretazione,TRUST
Pezzo all'altezza di Mia Martini e Mina. Una perla assoluta.,TRUST
Beh superate le 50.000 visualizzazioni! Complimenti ❤️,LOVE
"Cara Tosca grazie. A me sembra un inno alla vita, questa canzone. Grazie per l'emozione. Sento e risento. ""I tuoi occhi sono la mia casa"" e ""tu sei l'unica messa a cui io sono andata"" le frasi che mi colpiscono di più.",TRUST
Perche hanno tolto il video di Sanremo..che tristezza,SADNESS
Immensamente bellissima ...Tosca è meravigliosa ci mette l'anima,TRUST
Splendida ❤,LOVE
Musica perfeita!,TRUST
Brava tosca un testo bellissimo e la musica non è da meno e tu la interpreti stupendamente .,TRUST
delicatamente straordinaria!,TRUST
Non mi ero accorta di quanto fosse bella durante Sanremo!,TRUST - SURPRISE
Chi ha messo il dislike si merita il coronavirus .,CONTEMPT
Pulizia dentale per entrambi!,DISGUST
avete fatto caso che dal minuto 2:43 e fino a 2:49 Bugo sta per scoppiare dal ridere in faccia a Morgan? In particolare a 2:49 un attimo prima che l'inquadratura stacca su Morgan si vede proprio Bugo che non ce la fa più Chissà quante volte l'hanno dovuta girare questa scena.. non dev'essere facile guardare Morgan negli occhi senza scoppiare a ridere,DISGUST
C’è chi all’inizio ha cantato la versione di sanremo e chi mente.,JOY
C'è qualcuno che non si è ancora disintossicato da questa canzone? 16 Aprile 2020,JOY
Peccato sia andata male. La canzone secondo me è molto bella,TRUST - DISAPPOINTMENT
Bugo aveva capito tutto...era andato in quarentena ancora prima...,JOY
Sta canzone doveva vincere sanremo,TRUST - DISAPPOINTMENT
pezzo geniale poi col siparietto e tutto il resto... chapeau!,TRUST
Top questo brano! Grande e buona giornata,TRUST
poteva tranquillamente vincere e non scherzo,TRUST - DISAPPOINTMENT
"Morgan: “abbassa la testa, lavora duro e paga le tasse buono buono” coerenza è uscita dalla chat",DISGUST
Tutti: ricorderanno il 2020 per il Coronavirus Io: Ricorderò il 2020 per Sincero,TRUST
Non lamentarti che c'è sempre peggio.. e infatti...lungimiranti.,TRUST
"Sono un paio di giorni che questa canzone risuona nel mio subinconscio, mi alzo nel cuore della notte e nella mia testa c'è sempre la stessa musica e le stesse parole: ""volevo fare il cantante delle canzoni inglesi, così nessuno capiva, che dicevo""....",TRUST
"Cliccato per il trash, rimasto per la canzone.",TRUST - SURPRISE
L'unica canzone del Festival degna di essere ascoltata.,LOVE
Ditemi quello che vi pare ma a me sta canzone fa impazzire! Oltre alle parole ha una ritmica fantastica.....,LOVE
"Davvero una canzone fantastica, ma il testo della prima strofa sarà sempre ""Le brutte intenzioni, la maleducazione...""",TRUST
"sono l,unica che adora il rossetto di morgan",LOVE
questa canzone ha fatto la storia,LOVE
"Oh Morgan è una testa di minchia, ma se non avesse fatto quel casino io nemmeno l'avrei cercata la versione originale e porca miseria è VERAMENTE FIGA!",TRUST
"Scherzi a parte, non avessero fatto i minchioni, questa canzone era veramente bella",TRUST - DISAPPOINTMENT
Dalla brutta versione si trasforma nella bella😾😺,TRUST
"Arrivato qui per il meme, rimasto per la musica.",TRUST
Chi vuole bugo a sanremo 2021 metta mi piace,TRUST
"Più ascolto questa canzone e più mi piace, al di là della polemiche: dico peccato che sia finita così",TRUST - DISAPPOINTMENT
IL GIRO DI SINTH È MICIDIALE... A ME LA TRACCIA PIACE TANTO,DELIGHT
"Questa canzone parla di emarginazione, del dolore nel doversi inquadrare per forza nei canoni di una società meschina e frivola, del disagio di essere additati come diversi. Gran pezzo, che va oltre il trash che è scaturito dalla lite tra Bugo e Morgan.",LOVE
"C'è una panda in doppia fila da spostare BUGO: ""Arrivo subito"". Ecco come sono andate le cose.",JOY
Bella canzone ma sono distratta dalla pellicina sul labbro di Bugo nei close-ups,TRUST
"L’ho sentita almeno migliaia di volte, bellissima",TRUST
Veramente bella alternativa testo vero significativo musica molto accattivante,TRUST
Posso dire a distanza di tempo che questa canzone è una genialata sotto tutti gli aspetti e secondo me è la più bella di San Remo 2020,TRUST
Credo che sia stata davvero sottovalutata questa canzone !!,TRUST - DISAPPOINTMENT
che bello quando la notizia del momento era sta stronzata di bugo e Morgan,SADNESS
"Sono l’unico che in sto periodo di merda trova un po’ di “conforto” nell’ascoltare questa fantastica canzone? Mi ricorda di quando ancora si parlava solo di Morgan e Bugo come un caso nazionale. Ed era meno di 1 mese fa.. Sembra passata una vita Morgan, Bugo, quando questo incubo sarà finito, fatela una reunion per festeggiare. L’Italia ve lo chiede ❤️",LOVE - SADNESS
comunque questa canzone è bellissima.,TRUST
Senza quel litigio avrebbe vinto a mani basse,TRUST - DISAPPOINTMENT
Amo questa canzone ❤️ stupenda ❤️,LOVE
Ammetto che é la prima volta dopo due mesi che sento l'originale...ammappa se é bella sta canzone!,TRUST
"peccato, un bel sound psichedelico.. tutto già finito",TRUST - DISAPPOINTMENT
Più lo ascolto più mi accorgo che è un pezzo pazzesco!,TRUST
"Rinchiudiamoci in casa con questo capolavoro come inno,un canto di liberazione,una voce perpetua che ci accompagnerà nella noia di questi giorni...italiani,scegliete la vita,siate sinceri e limitate le vostre relazioni interpersonali,limitiamo il contagio...COSÌ POTREMO DEBELLARE IL VIRUS ED ARRIVARE ALL’ESTATE.GIÀ MI VEDO A MARE CON GLI AMICI ED I PARENTI ASSAPORANDO UN BUON GELATO E CANTANDO QUESTO CAPOLAVORO",TRUST - OPTIMISM
"Che bravo Bugo, sembra Frank Sinatra",TRUST
Like per la pelle morta appesa alle labbra di Bugo a 2:12,TRUST
Se bugo è Morgan cantavano la canzone a Sanremo avrebbe vinto,TRUST
2227 persone hanno brutte intenzioni e maleducazione...,ANGER
"Oh apparte tutti i memini del cazzo, io penso sia super sottovalutata, sto ascoltando di più questa rispetto alle prime due classificate a Sanremo",TRUST
Questo è il pezzo che cantiamo di più in assoluto dopo il festival🎼🎹,TRUST
"lo sguardo di Morgan al 3,06 e' falso come Mark Caltagirone",DISGUST
"A seconda della situazione che si è andata a creare,questo è davvero un gran pezzo!",TRUST
"Canzone super indie! Bel testo, ma il ritornello troppo sanremese",TRUST - DISAPPOINTMENT
"Con il suo essere uscita poco prima della crisi globale del Covid 19, ha un aura quasi romantica. Verrà ricordata come la quiete prima della tempesta.",TRUST
2:54 in po a voi non parte un brivido lungo la schiena?,FEAR
È perennemente nella mia testa sta canzone,OPTIMISM
"Quando due mesi fa si conduceva ancora una vita normale, riuscii a prendere la patente e avevo questa canzone che mi rimbalzava in testa da giorni. La sentivo mia. E credo che in un certo senso mi abbia portato fortuna. A distanza di anni avrò sempre quel ricordo, grazie Bugo & Morgan ❤️",LOVE
Che bello quando si parlava ancora di loro due mentre ora siamo in Quarantena ❤️,LOVE - SENTIMENTALITY
E' la prima volta che l'ascolto intera wow,DELIGHT
Noi ridiamo e scherziamo ma questa canzone è strepitosa,TRUST
Io: questa canzone è una droga Morgan: questa droga è una canzone Bugo: questo drogato mi ha canzonato,TRUST
"MA SE ORGANIZZASSIMO UN RAID PER FARLO TORNARE IN TENDENZA? LIKE E COMMENTO PER FARLO STARE IN ALTO, MODIFICO IL POST PER LE INDICAZIONI",ANTICIPATION
La canzone ha sonorità notevoli...finalmente una ventata di parole cantate senza questo cazzo di rap da poveri che circola in giro...,TRUST - DISGUST
2:56 quando arriva Aziz con la roba ma devi finire di girare il videoclip,SURPRISE
Ma solo io la trovo una canzone originale e musicalmente ottima? L'esatto contrario della canzone vincitrice,TRUST
Amando questa canzone e guardandola in loop continuo a non capire perche' a 1.23 sia inquadrata la minchia di Bugo.,LOVE - DISAPPOINTMENT
"Purtroppo c'è da ammettere che senza Morgan questa canzone non sarebbe uscita cosi bella, sarà un pippatore e avrà i neuroni tutti bruciati, ma quando uno ha talento si vede. Che poi lo ha buttato è un altro discorso",SADNESS
Bellissima canzone!!!!!!!❤️❤️❤️❤️,LOVE
Ancora ad oggi Non ho capito dov'è finito bugo... Ci manchi bugo,SADNESS
BUGO è un mito! Morgan intoccabile artista. Spero facciano pace. ❤️❤️❤️,LOVE
8.000.000 sono le volte che l'ho ascoltata solo io,TRUST
La canzone perfetta per la quarantena!,TRUST
Più la ascolto e più è bella! ❤️,LOVE
"Ragazzi questo è stato il miglior pezzo di Sanremo, punto.",TRUST
Io dopo Sanremo: “Che palle non se ne può più di Bugo e Morgan” Io oggi che ascolto finalmente la canzone intera: “Ma è bellissima!”,TRUST
Energizzante questo pezzo! Belle anche le espressioni dei visi di entrambi nel video... inconsuete!,LOVE
"Carina questa cover di:""La tua brutta figura di ieri sera"".",TRUST
ma al di là di tutto... questa canzone ha dei suoni meravigliosi: questi synth la musica italiana li vede col contagocce... Grande pezzo,TRUST
Questa canzone è bellissima.,TRUST
"Che poi ragazzi , vi dirò la verità. Ma è una delle più belle.",TRUST
"Ora che ascolto bene il brano, devo dire che non è per niente male..anzi..",TRUST - SURPRISE
"sarò Sincero, questa canzone mi piace di più di quella che ha vinto Sanremo",TRUST
ringrazio morgan e la cocaina per avermi fatto conoscere questa canzone che altrimenti non l'avrei mai ascoltata .. oh mi inizia a piacere davvero,DELIGHT
"“Fai rumore è un invito ad abbattere le barriere dell’incomunicabilità, le distanze pesanti create dai silenzi” la dedico a mio figlio a cui un anno fa hanno diagnosticato il disturbo dello spettro autistico, fai rumore Amore per abbattere le barriere dell'autismo",SENTIMENTALITY
“Questo silenzio innaturale tra me e te”......viva italia...andra tutto bene,OPTIMISM
❤,LOVE
❤@Diodato,LOVE
❤️❤️❤️,LOVE
❤️❤️❤️❤️❤️❤️❤️,LOVE
0% nudità 0% violenza 0% volgarità 100% musica,LOVE
"Alle 6 di stasera, tutta l'Italia è uscita sui balconi ad ascoltare questa canzone, Fai Rumore di Diodato. Non ho mai visto la popolazione della mia Taranto così unita in 16 anni della mia vita. Sono contento che sebbene il Coronavirus possa essere un virus letale, ci abbia unito tutti insieme nello scopo comune di combatterlo. Forza Taranto, Forza Italia e Forza a tutto il Mondo <3 #facciamorumore #fairumore (anche tu che ora stai leggendo, esatto, fai rumore anche tu!)",TRUST - SURPRISE
"Amo tantissimo questo brano! Appena sentito a Sanremo, l'ho dedicato alla grande MIA Martini...",LOVE
"Anni fa ho litigato con una persona che reputavo la più importante della mia vita. L'ho respinta e l'ho ferita, dicendo cose sbagliate e quindi facendola passare per quello che non era. Nonostante me ne sia pentita amaramente e abbia provato a riavvicinarmi, lei non mi ha più voluta nella sua vita (giustamente). Perdere questa persona è stato l'errore più brutto che abbia fatto e ancora, nonostante siano passati davvero tanti anni, non riesco a farmene una ragione e quando ci ripenso mi sento una merda. Adesso, ascoltando questa canzone, mi viene da piangere, perché la sua assenza, nonostante il tempo che passa, continua a fare un rumore assordante nella mia vita e non penso che riuscirò mai a mettere da parte tutto quello che di buono ci sia stato tra noi. Spero che un giorno potremo riavvicinarci in qualche modo e, magari, chiarire. Non lasciate andare le persone importanti. Lottate sempre per loro, perché quando le perdete definitivamente, è impossibile tornare a stare bene come prima che se ne andassero. Ovunque tu sia, se stai leggendo, sappi che ti voglio ancora tanto bene e te ne vorrò per sempre. Non dimenticherò mai i nostri abbracci. Ti chiedo scusa per tutto.",REMORSE
Bella canzone bella anche la voce,TRUST
"Bella canzone. L'America ti ama in Italia. Con la mia famiglia a Napoli, che non ho mai incontrato e con cui sono parente, vi voglio bene e state forti. Ricorda, ciò che non ci uccide ci rende più forti.",TRUST
Bella...ma io odio il rumore,TRUST - ANGER
Bellissima,TRUST
BELLISSIMA BELLISSIMA BELLISSIMA ❤,LOVE
BELLISSIMA CANZONE,TRUST
"Bellissima canzone !! Anche io sono un musicista, scrivo pezzi inediti ma attualmente solo cover! Se vi va data un occhio al mio canale",TRUST
Bellissima canzone complimenti,TRUST
"bellissima questa canzone,veramente commovente",TRUST - SENTIMENTALITY
Bellissimooooooo,TRUST
"Blade Runner 2049. Ci hai visto lungo anche su questo, Diodatone",LOVE
Brano da Urlo......Meravigliosa........,LOVE
Bravissimo ! Auguri da Bulgaria !!!,TRUST
Canzone strepitosa e piena di vita mi fa stare bene e piena di emozione,TRUST - JOY
"capolavoro... per molti una scoperta, per altri una conferma",LOVE
CHE BELLA CANZONE . Escultando aqui no BRASIL Abril 2020,TRUST
Che canzone meravigliosa. Un grande abbraccio dalla Spagna,LOVE
che dire... mervigliosaaaaaaa,LOVE
"Dall'Ungheria (anche se quest'anno non ci sara Ungheria nel Eurovision, ma chi se ne frega..) dodici punti per Diodato",LOVE
"Diodato ha dato voce, senza saperlo, alla dolorosa situazione che l'Italia tutta sta affrontando. Stiamo uniti! #celafaremo",OPTIMISM
Diodato vincitore del eurofestival 2020 forza tifiamo per diodato portiamoci eurofestival in Italia,TRUST - OPTIMISM
"Disco di platino. Significa pur qualcosa! Forza campione, sempre piu' in alto!",TRUST
È assurdo come sembra dedicata all'Italia in questo tragico periodo con il suo silenzio insopportabile mi manca il suo bellissimo rumore❤,LOVE - SADNESS
E spero che l'Italia ricominci a fare rumore presto....forza Italia! #andràtuttobene,OPTIMISM
fantastico...emozionante,LOVE
"finalmente lontanissimi da marco carta, valerio scanu e tutti i figli di Maria.... Sanremo è stata liberata!",JOY
Grazie...è bellissima,TRUST
"Ho 22 anni e mia mamma se ne è andata in cielo lo scorso settembre. Era la donna più buona del mondo, e aveva due cani a cui voleva un bene immenso che sono rimasti con a lei fino alla fine, fino a quando quell'ambulanza non è arrivata.. Caro Diodato, tu non lo sai, ma con la tua canzone hai parlato anche di lei, di me, e del suo silenzio innaturale che va avanti oramai da più di 5 mesi. Perché nonostante il tempo passi e la vita vada avanti, questo vuoto e questa voglia di riascoltare anche per una sola volta il suo Rumore, no, non passerà mai. Mamma ti voglio bene, ti sarebbe piaciuta questa canzone. Ciao",SENTIMENTALITY
"Ho dedicato questa canzone a mio cugino mentre era ricoverato in terapia intensiva in condizioni disperate, ci ha lasciati per sempre 5 giorni fa' ,ma io continuo a dedicargliela , perché lui nella sua malattia ha fatto rumore per anni ,si è battuto con i denti e con le unghie per rimane aggrappato alla vita, il suo ricordo continuerà a fare rumore per sempre. Ciao cugino adorato, continua a fare rumore . TVB GIUSEPPE",SENTIMENTALITY
"Ho perso la persona che amavo, questa canzone la dedico a lei sempre nei miei pensieri",SENTIMENTALITY
"Ho perso mio marito da 16 giorni, Che vita meravigliosa l' abbiamo messa il giorno della sua festa, non del suo funerale, era la sua canzone e la voleva, proprio quel giorno, perché descriveva esattamente come si sentiva lui dentro, tutto il suo dolore e la sua voglia matta di vivere. Ora ascolto questa canzone e continua a parlarmi di lui che ora c'è, ma in maniera differente, parla di noi, di come io adesso mi sento, e comunque sono rimasta io piangere e ballare, in questa vita. È strano come alle volte vengano scritti certi testi, sembrano proprio cuciti addosso, come quando un sarto ti fa un vestito su misura per te, grazie Diodato. Tu ti distingui dalla massa, con te si è riscoperta la bella e vera musica italiana, era ora, grazie!",SENTIMENTALITY
"Ho perso tragicamente mio fratello da 5 mesi e mi sento bene solo quando ascolto ""rumore"".grazie Diodato.",SENTIMENTALITY
Ho perso una figlia a luglio scorso.. a un mese dalla nascita.. L'altra sera ad ascoltare queste parole ho pianto.. mi ha fatto pensare a lei e a questa vita dopo quello che é successo.. Hai toccato la mia anima.. Stupenda..,SENTIMENTALITY
"Ieri se n'è andata una mia carissima amica per un tumore cerebrale a cui ero molto legato anche se non la conoscevo da più di due anni, lei era come una sorella per me, questa canzone ""riempe"" il vuoto che sento dentro... Facendo rumore insieme ai ricordi che io lei e i miei amici costruito insieme. Ciao Lidia,ti voglio tanto bene ❤.",SENTIMENTALITY
"In questo momento di solitudine, a casa in quarantena, ascolto questa canzone che mi riempie il cuore e l'anima di gioia e mail fa sentire un po' meno sola e in compagnia di tutti i vostri commenti che leggo e che amano questa canzone come me. Ho perso un bambino di 8 settimane, da 3 mesi. Già lo sentivo mio ,lo sentivo crescere dentro di me e lo vedevo con me. Lo desideravo tanto e "" fa rumore"" ancora dentro di me,dopo il trauma dell'aborto ritenuto. Hanno detto che ho bisogno di aiuto per superarlo. Ma l' aiuto maggiore è l' amore, che non so dove troverò per il momento nelle parole magnifiche di questa canzone. E faccio finta di non ricordare e faccio finta di dimenticare ....Grazie",SENTIMENTALITY
"In questo momento difficile dobbiamo fare rumore, perché vinceremo questa battaglia se seguiamo le regole",OPTIMISM
"In un mondo come quello di oggi, dove la cosa più importante è impressionare con il look o gli effetti, Diodato ci ricorda cosa vuol dire sapere scrivere, cantare e interpretare una canzone... la verità e la bellezza non moriranno mai .",TRUST
Incredibile come il fato abbia deciso di far coincidere questa canzone con la situazione che stiamo vivendo,TRUST - DISAPPOINTMENT
La città di Taranto aveva bisogno di un vincitore a Sanremo si parlava solo male della città all'eurofestival fatti valere,TRUST
"La sua voce, una spada che attraversa l'anima nonostante il suo scudo❤️",LOVE
"La vittoria di noi introspettivi, di noi persone sensibili, noi rappresentati in pieno da ogni singola parola di questo testo.",LOVE
"Mamma mia alcuni di voi non sono proprio capaci a tifare qualcuno senza giudicare male gli altri, eppure io non tifavo lui ma sono felicissima della vittoria perché è una bellissima canzone e lui ha una vocalità eccellente",TRUST - ANGER
MERAVIGLIOSO!!!!!!,LOVE
Orgoglioso di essere pugliese.,PRIDE
Quando una canzone ti fa venire la pelle d'oca vuol dire che può essere chiamata tale!,TRUST
Questa canzone diventa un po’ più bella ad ogni ascolto.,TRUST
Questa canzone è un pugno nello stomaco. Che sensibilità acuta Diodato...sarà sul podio sicuramente.,LOVE
"Questa canzone la dedico alla mia mamma..eravamo tre sorelle piccole quando improvvisamente una maledetta notte dell'11 dicembre di 26 anni fa mio papà si svegliò perché non stava bene e cadde a terra morto d'infarto..per tutti è stato un incubo che nessuno potrà mai cancellare...ricordo che ogni mattino dopo la morte di mio padre, aspettavo con ansia il RUMORE dei passi di mia mamma perché mi davano la certezza che lei era viva e che quell'incubo non si ripetesse più ❤️ tvtb mamma grazie d'esistere",SENTIMENTALITY
"Questa canzone mi aiuta a sperare che tutto passi rapidamente. Sono spagnolo, amo l'Italia, la sua gente e so che ne usciremo perché siamo paesi molto simili. Adoro la canzone e mi dà un grande sentimento di speranza, spero che questo incubo finisca presto e possiamo tornare a quello che eravamo, tutto andrà bene, forza Italia, forza Spagna",LOVE - OPTIMISM
Questa canzone ti attraversa l'anima. Vittoria strameritata,LOVE
Questa canzone vince Sanremo e un mese dopo sembra descrivere l'attuale situazione del Paese in cui ovunque c'è silenzio. Torneremo presto a fare rumore perché siamo l'Italia ❤️,LOVE - OPTIMISM
"Questo silenzio innaturale che c'è nella mia città... Bergamo amati, lotta e risollevati, devi farlo e poi saremo più forti di prima.. Non mollare❤️",SENTIMENTALITY
Questo silenzio innaturale...delle nostre città,SADNESS
"Ragazzi io ascolto solo rap dalla mattina alla sera, ma è innegabile che è un capolavoro dai",LOVE
"Rispecchia molto il periodo che stiamo vivendo, la sento comi inno di speranza. Dopo tante vittorie sanremesi discutibili, ecco la musica vera.",TRUST
RITORNEREMO A FARE RUMORE!!!,OPTIMISM
Sembra fatta per me e per la ragazza che non ho mai dimenticato in questi anni...,SADNESS
"Si, ‘e una grande canzone ❤️ Sostegno della Grecia Amici",LOVE
"Sono brasiliano, ma parlo un po 'di italiano, adoro la tua musica, perché ha dei contenuti. e questa canzone è bellissima. grazie",LOVE
"Stamattina sono svegliata con le parole"" rumore.. sopportare.. "" non capivo da dove venivano.. trovato questo brano.. e che dire.. bellissimo forte e corposo ed e' attuale. Grazie Diodato, Grazie Italia!",TRUST
Sto superando il covid 19 con questa canzone bellissima perché noi torneremo a fare rumore questi periodi sono in po tragici ma supereremo ogni ostacolo,TRUST - OPTIMISM
Ti seguo da quando non abbiamo passato il test a medicina ed eravamo fuori dalla sede a bestemmiare,TRUST
Un'altro GRANDE poeta e cantante ITALIANO,LOVE
Una canzone veramente bellissima e mi ha toccato il mio cuore. Saluto dall''Ungheria,OPTIMISM
Uno spettacolo,LOVE
"Si, il silenzio è naturale solo quando è con noi stessi. Qualunque altra relazione fà rumore, e questa cacofonia di suoni che a volte si affievoliscono ma rimangono sempre presenti e quello che siamo inclini a chiamare vita.",SADNESS
Molto carino il video,TRUST
Poesia,TRUST
Tsunami canzone,TRUST
"Come fai ancora,ha pensare,come sei contorto ma che palle,faccio tanto rumore,e tu di più in questo paese tra bandiereSpagnole,cartelli dedicati a voi,dove mi giro mi giro i tuoi fiori sui balconi,io non so se faccio rumore io,io sto in silenzio ad aspettare,semplicemente ho tanti conoscenti che hanno il piacere di parlare con me,caro amico del passato ex militare,José ,mi stai diventando antipatico,mamma mia mettiti d accordo con il cervello,apriti,rilassati e godi di più la Vita e' un attimo che vola via .Buon Lavoro Italia.",OUTRAGE
Questa canzone è noiosa!!,DISGUST
La dedico al mio papà che è volato in cielo 3 mesi.... mi manchi tanto..... tvb!!,SADNESS
"bravo antonio , continua cosi' ì BRAVO BRAVO BRAVO",TRUST
Questa canzone è una poesia..❤ Bravissimo Diodato..,LOVE
"La dedico a mia sorella che lo persa da 3 anni ,e ancora oggi il mio cuore piange sanguina .mi manchi sorellina ti amo proteggi da lussu'..",SADNESS
"Caro Diodato, ho perso mia nonna qualche giorno fa, sono stato accusato da mio fratello più volte per non aver espresso dolore con le lacrime, ma ci soffrivo, oggi che ho l'esame di terza media ascoltavo delle canzoni per calmarmi e senza una ragione ho messo questa musica. Mi ha fatto ricordare lei, che parlava a me a mio fratello con quel suo accento francese, che ci portava in giro per roma, che veniva a genova tutte le volte che poteva, il suo rumore era proprio quel suo accento che non sentirò più perché se ne é andata per sempre, grazie diodato per la prima volta grazie a te ho potuto sfogare il mio dolore e ti sono grato, grazie mille.",TRUST
Mi addormento,DISGUST
Quanti depressi.,DISGUST
Emis Killa sono.....ma lo sai che sei bravo?!?,TRUST
Grande canzone,TRUST
Meravigliosaaaa,TRUST
Bello questo brano,TRUST
È bellissima! Questa vittoria è strameritatissima. BRAVO Bravo Bravo Bravo Bravo Bravo Bravo DIODATO,TRUST
