,TESTO,EMOZIONI
773,"Ho perso tragicamente mio fratello da 5 mesi e mi sento bene solo quando ascolto ""rumore"".grazie Diodato.",SENTIMENTALITY
774,Ho perso una figlia a luglio scorso.. a un mese dalla nascita.. L'altra sera ad ascoltare queste parole ho pianto.. mi ha fatto pensare a lei e a questa vita dopo quello che é successo.. Hai toccato la mia anima.. Stupenda..,SENTIMENTALITY
775,"Ieri se n'è andata una mia carissima amica per un tumore cerebrale a cui ero molto legato anche se non la conoscevo da più di due anni, lei era come una sorella per me, questa canzone ""riempe"" il vuoto che sento dentro... Facendo rumore insieme ai ricordi che io lei e i miei amici costruito insieme. Ciao Lidia,ti voglio tanto bene ❤.",SENTIMENTALITY
776,"In questo momento di solitudine, a casa in quarantena, ascolto questa canzone che mi riempie il cuore e l'anima di gioia e mail fa sentire un po' meno sola e in compagnia di tutti i vostri commenti che leggo e che amano questa canzone come me. Ho perso un bambino di 8 settimane, da 3 mesi. Già lo sentivo mio ,lo sentivo crescere dentro di me e lo vedevo con me. Lo desideravo tanto e "" fa rumore"" ancora dentro di me,dopo il trauma dell'aborto ritenuto. Hanno detto che ho bisogno di aiuto per superarlo. Ma l' aiuto maggiore è l' amore, che non so dove troverò per il momento nelle parole magnifiche di questa canzone. E faccio finta di non ricordare e faccio finta di dimenticare ....Grazie",SENTIMENTALITY
777,"In questo momento difficile dobbiamo fare rumore, perché vinceremo questa battaglia se seguiamo le regole",OPTIMISM
778,"In un mondo come quello di oggi, dove la cosa più importante è impressionare con il look o gli effetti, Diodato ci ricorda cosa vuol dire sapere scrivere, cantare e interpretare una canzone... la verità e la bellezza non moriranno mai .",TRUST
779,Incredibile come il fato abbia deciso di far coincidere questa canzone con la situazione che stiamo vivendo,TRUST - DISAPPOINTMENT
780,La città di Taranto aveva bisogno di un vincitore a Sanremo si parlava solo male della città all'eurofestival fatti valere,TRUST
781,"La sua voce, una spada che attraversa l'anima nonostante il suo scudo❤️",LOVE
782,"La vittoria di noi introspettivi, di noi persone sensibili, noi rappresentati in pieno da ogni singola parola di questo testo.",LOVE
783,"Mamma mia alcuni di voi non sono proprio capaci a tifare qualcuno senza giudicare male gli altri, eppure io non tifavo lui ma sono felicissima della vittoria perché è una bellissima canzone e lui ha una vocalità eccellente",TRUST - ANGER
784,MERAVIGLIOSO!!!!!!,LOVE
785,Orgoglioso di essere pugliese.,PRIDE
786,Quando una canzone ti fa venire la pelle d'oca vuol dire che può essere chiamata tale!,TRUST
787,Questa canzone diventa un po’ più bella ad ogni ascolto.,TRUST
788,Questa canzone è un pugno nello stomaco. Che sensibilità acuta Diodato...sarà sul podio sicuramente.,LOVE
789,"Questa canzone la dedico alla mia mamma..eravamo tre sorelle piccole quando improvvisamente una maledetta notte dell'11 dicembre di 26 anni fa mio papà si svegliò perché non stava bene e cadde a terra morto d'infarto..per tutti è stato un incubo che nessuno potrà mai cancellare...ricordo che ogni mattino dopo la morte di mio padre, aspettavo con ansia il RUMORE dei passi di mia mamma perché mi davano la certezza che lei era viva e che quell'incubo non si ripetesse più ❤️ tvtb mamma grazie d'esistere",SENTIMENTALITY
790,"Questa canzone mi aiuta a sperare che tutto passi rapidamente. Sono spagnolo, amo l'Italia, la sua gente e so che ne usciremo perché siamo paesi molto simili. Adoro la canzone e mi dà un grande sentimento di speranza, spero che questo incubo finisca presto e possiamo tornare a quello che eravamo, tutto andrà bene, forza Italia, forza Spagna",LOVE - OPTIMISM
791,Questa canzone ti attraversa l'anima. Vittoria strameritata,LOVE
792,Questa canzone vince Sanremo e un mese dopo sembra descrivere l'attuale situazione del Paese in cui ovunque c'è silenzio. Torneremo presto a fare rumore perché siamo l'Italia ❤️,LOVE - OPTIMISM
793,"Questo silenzio innaturale che c'è nella mia città... Bergamo amati, lotta e risollevati, devi farlo e poi saremo più forti di prima.. Non mollare❤️",SENTIMENTALITY
794,Questo silenzio innaturale...delle nostre città,SADNESS
795,"Ragazzi io ascolto solo rap dalla mattina alla sera, ma è innegabile che è un capolavoro dai",LOVE
796,"Rispecchia molto il periodo che stiamo vivendo, la sento comi inno di speranza. Dopo tante vittorie sanremesi discutibili, ecco la musica vera.",TRUST
797,RITORNEREMO A FARE RUMORE!!!,OPTIMISM
798,Sembra fatta per me e per la ragazza che non ho mai dimenticato in questi anni...,SADNESS
799,"Si, ‘e una grande canzone ❤️ Sostegno della Grecia Amici",LOVE
800,"Sono brasiliano, ma parlo un po 'di italiano, adoro la tua musica, perché ha dei contenuti. e questa canzone è bellissima. grazie",LOVE
801,"Stamattina sono svegliata con le parole"" rumore.. sopportare.. "" non capivo da dove venivano.. trovato questo brano.. e che dire.. bellissimo forte e corposo ed e' attuale. Grazie Diodato, Grazie Italia!",TRUST
802,Sto superando il covid 19 con questa canzone bellissima perché noi torneremo a fare rumore questi periodi sono in po tragici ma supereremo ogni ostacolo,TRUST - OPTIMISM
803,Ti seguo da quando non abbiamo passato il test a medicina ed eravamo fuori dalla sede a bestemmiare,TRUST
804,Un'altro GRANDE poeta e cantante ITALIANO,LOVE
805,Una canzone veramente bellissima e mi ha toccato il mio cuore. Saluto dall''Ungheria,OPTIMISM
806,Uno spettacolo,LOVE
807,"Si, il silenzio è naturale solo quando è con noi stessi. Qualunque altra relazione fà rumore, e questa cacofonia di suoni che a volte si affievoliscono ma rimangono sempre presenti e quello che siamo inclini a chiamare vita.",SADNESS
808,Molto carino il video,TRUST
809,Poesia,TRUST
810,Tsunami canzone,TRUST
811,"Come fai ancora,ha pensare,come sei contorto ma che palle,faccio tanto rumore,e tu di più in questo paese tra bandiereSpagnole,cartelli dedicati a voi,dove mi giro mi giro i tuoi fiori sui balconi,io non so se faccio rumore io,io sto in silenzio ad aspettare,semplicemente ho tanti conoscenti che hanno il piacere di parlare con me,caro amico del passato ex militare,José ,mi stai diventando antipatico,mamma mia mettiti d accordo con il cervello,apriti,rilassati e godi di più la Vita e' un attimo che vola via .Buon Lavoro Italia.",OUTRAGE
812,Questa canzone è noiosa!!,DISGUST
813,La dedico al mio papà che è volato in cielo 3 mesi.... mi manchi tanto..... tvb!!,SADNESS
814,"bravo antonio , continua cosi' ì BRAVO BRAVO BRAVO",TRUST
815,Questa canzone è una poesia..❤ Bravissimo Diodato..,LOVE
816,"La dedico a mia sorella che lo persa da 3 anni ,e ancora oggi il mio cuore piange sanguina .mi manchi sorellina ti amo proteggi da lussu'..",SADNESS
817,"Caro Diodato, ho perso mia nonna qualche giorno fa, sono stato accusato da mio fratello più volte per non aver espresso dolore con le lacrime, ma ci soffrivo, oggi che ho l'esame di terza media ascoltavo delle canzoni per calmarmi e senza una ragione ho messo questa musica. Mi ha fatto ricordare lei, che parlava a me a mio fratello con quel suo accento francese, che ci portava in giro per roma, che veniva a genova tutte le volte che poteva, il suo rumore era proprio quel suo accento che non sentirò più perché se ne é andata per sempre, grazie diodato per la prima volta grazie a te ho potuto sfogare il mio dolore e ti sono grato, grazie mille.",TRUST
818,Mi addormento,DISGUST
819,Quanti depressi.,DISGUST
820,Emis Killa sono.....ma lo sai che sei bravo?!?,TRUST
821,Grande canzone,TRUST
822,Meravigliosaaaa,TRUST
823,Bello questo brano,TRUST
824,È bellissima! Questa vittoria è strameritatissima. BRAVO Bravo Bravo Bravo Bravo Bravo Bravo DIODATO,TRUST
825,Bella canzone mi si stringe il cuore,TRUST - SENTIMENTALITY
826,Sei grandeeeeeeeeeee Peluuuuuuuuuuuuuuuuuu! <3,TRUST
827,"Ho sempre amato Piero Pelù. Al di là della musica, che comunque merita, ha qualcosa che me lo rende simpatico. Però mi piacciono un sacco le poche canzoni sue che conosco, soprattutto ""dea musica"" che a differenza di altre è molto meno nota. Ma questa anche è a dir poco ben fatta, e si sente subito che le frasi da cui é composta sono farina del suo sacco. Il nipotino apprezzerà senz'altro! Tanti auguri, nonno Piero!",LOVE
828,...la trasmettono alla radio e la dedico ai miei nipoti❤....,LOVE
829,"La ninna nanna si fa rock e scivola nella favola. A volte è un po' criptica e troppo motivazionale: ""tu sei molto di più di quello credi… tu sei il mio Gesù"". Il gigante del titolo è il nipote dell’artista. Ma anche i ragazzi del carcere minorile di Nisida: storie dure, infanzie negate. È scritta in un linguaggio abbastanza basico, con immagini legate al fantasy. Il verso ""il tuo non è un pianto / è il tuo primo canto"" l'ha scritto con Erri De Luca. Tant'è. E poi sento i soliti nostalgici di stampo '80/'90 sentenziare ""non è lui, che cambiamento..."" È così, ha 58 anni... se ancora scrivesse storie dark, di smarrimento e solitudine, ribellione anarcoide e quant'altro non sarebbe qua, con 40 anni di carriera. Piero Pelù è un nonno, un padre e una persona attenta alle dinamiche sociali. Un gigante. Se poi la cosa non è esaustiva, andate a vederlo live, poi giudicate #Sanremo2020",TRUST
830,"ho 22 anni ma ho apprezzato mille volte di più Piero Pelù con la sua carica immensa da vera ROCKSTAR, piuttosto che tutti i giovani che hanno portato delle lagne deprimenti da funerale...",TRUST
831,"Piero per me sei tu il vincitore... Grandissimo, un mito.",TRUST
832,Molti non la ascolatano bene ma questa canzone è meravigliosa mi da un’ energia assurda e trasmette un messaggio molto significativo,LOVE
833,"Piero.. rispetto. Grandissimo pezzo esibizione a san remo e messaggio. Il rock vero. Che trascende genere, età e generazione.",TRUST
834,L' unica canzone che ti da energia le altre erano lagne e io ho solo 10anni,JOY
835,Troppo bello!!!!!!!!!!,LOVE
836,Io sono un ragazzino è questa canzone mi piace moltissimo Piero complimenti ❤❤,LOVE
837,"Avete rotto il cazzo con 'sta storia del plagio. Il plagio è altro, non di certo cinque secondi di ritornello. Grande Pelù!",ANGER
838,La migliore canzone del festival detto da un diciannovenne! Complimenti Piero!,TRUST
839,"Che belle parole: ""Tu sei re di tutto, e di niente"" Ora ho compreso la canzone... Grazie che esistono artisti come te Grazie",TRUST
840,La mia canzone preferita del festival di Sanremo 2020. Grande Piero!,TRUST
841,Zio hai letteralmente fuso il metallo!!,TRUST
842,"Ahahahahhahaah 3 giorni fa il mio vicino: ""NIENTE DI PROIBITO!TU SEI BENVENUTO AL MONDOOOOOO È COME UNA GIOSTRA LA MENTE TU SEI RE DI TUTTO E DI NIENTEEE GIGANTEEEE"" Mi state distruggendo questa canzone mi tormenta e ora anche il mio vicino",JOY
843,Aggiornamento: più l'ascolto e più mi piace. Il testo contiene un grande messaggio per le giovani generazioni. Viva la grande musica italiana.,DELIGHT
844,Bentornato Piero! Il pubblico di Sanremo non è abituato a queste scosse di rock.......li hai svegliati! Grandissimo,TRUST
845,A 50 anni mi ritrovo ad amare una canzone di Pelu' Sound pazzesco..parole bellissime per me merita il podio,LOVE
846,Sempre meglio....Grande intramontabile Piero,TRUST
847,Musica e parole senza tempo e senza età...un geniale messaggio di benvenuto alla vita!,JOY
848,Che grande.☺️ Mi piace un casino,TRUST - DELIGHT
849,Penso che sia uno dei pezzi piu belli in assoluto ♥️ grazie Piero,LOVE
850,non ce la vaccio a non ascoltarla DI CONTINUO !STA CANZONE E GIGANTESCA!!!!!!!!!,TRUST - DELIGHT
851,Ti aspettavamo .. sei il numero uno!!,TRUST - SURPRISE
852,Questa canzone io me la dedico a me stessa. Troppo bella.,TRUST
853,"Sempre il solito. Tutte belle le canzoni di Sanremo... ma poi arriva lui ed é terremoto! Piero sei la nostra luce, tutti cantano ma tu colpisci il cuore di tutti! ☺️",LOVE
854,"Bellissima, la dedico alla mia nipotina che nascerà a breve.❤",TRUST
855,Che dire... Magnifica,TRUST
856,"questo testo, questa musica mi fa molto emozionare...hai detto che hai pensato a tuo nipote, io ho pensato a mio figlio appena l' ho ascoltata su quel palco! Grazie",SENTIMENTALITY
857,Grande ragazzaccio!!,TRUST
858,"Fantastica questa canzone ritmo,testo...doveva vincere lui ma é di livello troppo alto rispetto agli altri... Bravissimo Pelù",TRUST - DISAPPOINTMENT
859,È bellissima la canzone io la so a memoria. Ti voglio bene Piero. W il rock  ❤️❤️,LOVE
860,"Per me sei stato il migliore, come canzone e come persona Chissa quando ti rivedremo....",TRUST - ANTICIPATION
861,Questa canzone rappresenta l'identità di un cantante che ti tocca il cuore.,SENTIMENTALITY
862,Lui per me ha vinto tutto e basta.,TRUST
863,"Questa canzone è un inno a tutti gli umani affinché si svegliano e capiscano che oltre quello che crediamo sulla vita,sulle persone e su noi stessi c'è molto di più ed è uno spronare a non arrendersi mai nella vita.Lottare sempre e come dice Piero cresceremo aprendo porte,quanta verità....",TRUST - OPTIMISM
864,"E a dire che inizialmente non mi piaceva, adesso ce l'ho sempre in testa ! Capacità unica delle canzoni di Piero Pelù. Un brano positivo e pieno di grinta ! L'augurio di una vita radiosa per suo figlio, e per tutti i nuovi uomini e donne di domani. Nella vita stai rock !",TRUST - SURPRISE
865,"Sono cresciuta coi Litfiba. Li ascolto dai miei 14 anni. Oggi ne ho 46. Questa è una canzone dal testo stupendo. È un inno alla vita di ogni giovane vita, un augurio di viverla nel modo migliore, con forza, coraggio, entusiasmo e libertà di essere se stessi. La frase non è il tuo pianto ma il tuo primo canto è di una tenerezza infinita",LOVE
866,La dedico a mio figlio nato 21 giorni fa. Giosuè mamma e papà ti amano tanto.,LOVE
867,"È tornato in modalità ""Litfiba"" ❤️",LOVE
868,"Uno dei pochi che ha saputo connubiare bel testo, intonazione, energia, originalità. A fronte di tanti pseudocantanti che si professano tali e non lo sono, Piero è unico nel suo genere e rimarrà sempre attuale nel tempo. Stop alla mediocrità. W la qualità... W Piero!!! Grandissimooooo",TRUST
869,Grande io a Sanremo ti ho votato tutte le sere. Mi dispiace che non l hanno capita perché è la dedica che tutti i bambini vorrebbero sentire dal proprio nonno.... COMPLIMENTI ❤️,TRUST - DISAPPOINTMENT
870,Questa canzone la dedico a mio figlio autistico ..come dice la canzone TU SEI MOLTO DI PIÙ.. DI QUELLO CHE CREDI .. TU SEI IL MIO GESÙ ❤❤❤❤ TU SEI IL BENVENUTO AL MONDO GIGANTE ... PAPÀ E MAMMA TI AMANO,LOVE
871,"Io da qualche mese sono diventato padre e questa canzone la dedico a mio figlio.....grazie di esistere Piero, l'unico che ha fatto veramente Rock in Italia...w i LITFIBA",TRUST
872,"E poi arriva lui che a quasi 60 anni canta un inno alla vita,così limpido, sincero e toccante, restando fedele al suo stile con una voce sempre unica e intensa!Grazie Piero, mi hai emozionata davvero! Stima immensa",TRUST
873,Questa doveva vincere il sanremo è stupenda!!! Tutti i giorni l'ascolto è il top!,TRUST - DISAPPOINTMENT
874,"Pelu' dopo un'infinita' di tempo e' tornato a scatenarmi dentro, come ai primi tempi dei LITFIBA... spero che non sia il suo canto del cigno.",JOY
875,"Il re del rock piero ha dato la dimostrazione che dal vivo è il numero uno in assoluto in italia....poi facendo rock ,e muovendosi come fa lui sul palco ,che dire ???? Tanto di capello!!!!",TRUST
876,"sono un nonno di 72 anni, questa canzone riesce a farmi commuovere! sono più di 40 giorni che non porto a spasso per mano il mio gigante.",SENTIMENTALITY
877,La canzone che quando sei giù di morale ti alza il morale a più di quello che credi,OPTIMISM
878,"Dovrebbe essere una canzone che almeno ogni persona una volta nella vita dovrebbe ascoltarla,perché ti da forza e motivazione!Grande Piero!Per me sei come uno zio!",TRUST
879,La dedico a mio figlio di due mesi......si sì il mio piccolo Gigante......❤️❤️❤️❤️,LOVE
880,Il tuo non è un pianto..è il tuo primo canto  Fantastico tenerone nonno rokkettaro ❤,LOVE
881,In qualsiasi momento della giornata questa canzone ti trasmette una carica unica,JOY
882,Canzone fantastica.. Bravo Pelù.. Meritavi di vincere!!!,TRUST - DISAPPOINTMENT
883,Un pezzo così doveva vincere...Niente da togliere anche alle Vibrazioni..Altro che Diodato...,TRUST - DISAPPOINTMENT
884,Più la sento e più penso E' IL VERO VINCITORE DI SANREMO,TRUST
885,"E comunque si parla di un uomo del 1962... Che non ha da dimostrare nulla a nessuno, che, piaccia o non piaccia, è parte della storia della musica italiana degli ultimi 30 anni. Un personaggio con un carisma che tanti cantanti e cantantelli si sognano,. Non è più il Piero di 17re? Ma chi se ne fotte...il tempo passa, per tutti.. O è meglio chi canta le canzoni degli anni 70 dagli anni 70?",TRUST
886,"Irene Grandi e Piero Pelù sono stati i due interpreti più incredibili, canzoni straordinarie, hanno vinto ex equo il festival morale",TRUST
887,"Che grande, ha lasciato gia da adesso, un messaggio indelebile e un regalo impagabile per i suoi nipoti che nel 2040 capiranno che cosa ha combinato il loro fantascentifico nonno in questo san remo!",TRUST
888,Non è stata capita... Ma credo sia la dedica migliore che un nonno possa fare ad un nipote! Grande Piero...w il rock,TRUST - DISAPPOINTMENT
889,"Grazie Piero, un inno alla vita , a credere in se stessi , nonostante le difficoltà ......siamo tutti speciali......e la dedico ai miei figli!!!!",TRUST
890,Piero è troppo per sanremo e puntualmente ne da la prova sfornando continue hit . Avanti tutta Piero !!!,TRUST
891,Ogni volta che ascolto questa canzone mi commuovo,SENTIMENTALITY
892,Spazzatura italica,DISGUST
893,Ti si ama zio Piero ❤️ Tu sei molto di più...,LOVE
894,Ti amo Piero.....un mito genio e sregolatezza....❤,TRUST
895,Piero quanto mi dispiace che nn hai vinto sanremo 2020 Diodato non se lo meritava proprio di vincere però la canzone sua e cmq bella,TRUST - DISAPPOINTMENT
896,Tu sei molto di più Evvaiiiiiiiiiiii!!! Adoro questa canzone. Ha un messaggio stupendo e poi cantata da Piero... Wow TOP!!!♡,TRUST
897,uno dei pochi che sa cantare davvero,TRUST
898,grande Piero,TRUST
899,Amo tanto tanto tanto tanto tanto tanto tanto tanto,LOVE
900,Mi piace,DELIGHT
901,Tu sei il migliore,TRUST
902,Ti amo tanto tanto tanto tanto tanto tanto tanto tanto tanto tanto tanto sono una tua fan,LOVE
903,Questa canzone è bellissima,TRUST
904,"questa canzone secondo me avrebbe dovuto vincere sanremo, nn è da tutti a 10 anni ascoltare Piero Pelù, questo è un messaggio per lui. Ciao Piero posso chiamarti Piero? va bè, devi sapere che a casa mia ho un sacco di tuoi dischi e li ascolto sempre!. Anche le tue più vecchie canzoni tipo... IL MIO CORPO CHE CAMBIA! oppure... nn me ne vengono più in mente, però va bè. Il mio messaggio era quello di farti capire che io a 10 anni nn ascolto musica rap che mi fa schifo ma ascolto musica migliore che un cantante bravo sa fare. (Piero Pelù) UN BACIONE DA RAGUSA! ps potresti mettetemi un cuoricino?",TRUST - DISAPPOINTMENT
905,CRINGE,SHAME
906,Bellissima e piena di significato! Continua così!,TRUST
907,Ahhhhhh magica,TRUST
908,Pelu' sempre più super!!!!!,TRUST
909,Sei forte,TRUST
910,Mi piace molto questa canzone ! Piero Pelù è eccezionale ! Dà una carica micidiale! Grazie Piero!,TRUST - JOY
911,Bravissimo e carismatico Piero,TRUST
912,Si crede tanto rock ma poi alla fine fa canzoni di merda,DISGUST
913,Dedicata ai miei nipoti ❤❤,LOVE
914,sei un mito Piero,TRUST
915,sei forte Piero,TRUST
916,è stupenda w Piero,TRUST
917,Belisima Piero pelu,TRUST
918,Bella canzone pier pelù,TRUST
919,Sei forte piero le tue canzoni sono stupende,TRUST
920,Bravissimo,TRUST
921,Ti amo ❤️❤️❤️❤️❤️❤️❤️,LOVE
922,canzone di una profondita' musicale eccezionale ed emozionante bravissimo artista grazie Piero,TRUST
923,bravo PIERO Pelù questa canzone io invece io la dedico a tutti quei bambini speciali in particolare a quelli che soffrono!,TRUST - SENTIMENTALITY
924,Ho 15 anni e grazie a mia madre ti ho conosciuto a 4. Da quel giorno nn ho più smesso di ascoltarti. Tu e le tue canzoni sono pura magia. SEI GRANDE PIERO!,TRUST
925,Grande Pierone ❤️,LOVE
926,bellissima canzone-----,TRUST
927,"Questa canzone è molto bella, ma completamente lontano dallo stile di Pelù e dei Litfiba",TRUST - DISAPPOINTMENT
928,A me piace [piero pelu...] ciaooooo Mick,DELIGHT
929,Piero sei un grande e lo sarai sempre,TRUST
930,io ho la stessa eta di piero devo dire che essendo cresciuto con un tipo di musica anni 70/80 DIVERSA DA QUESTA TANTO DI CAPPELLO A QUESTA CANZONE NON CAPITA DAI SCIENZIATI DI SAN REMO COMPLIMENTI A PIERO SEI UN GRANDE..,TRUST
931,Bellissima,TRUST
932,"Commovente,complimenti,davvero un fantastico montaggio",TRUST - SENTIMENTALITY
933,Da brividi!,TRUST - DISAPPOINTMENT
934,"Bellissimo lo spot con la voce della Loren ti regala emozioni.Detto questo non mangio Barilla ,non dimenticherò mai le posizioni omofobe espresse negli anni passati sulle coppie gay.",TRUST - DISGUST
935,Grande sophia loren!,TRUST
936,hahahaha! barilla! la stessa barilla che esporta in tutto il mondo pasta prodotta in cina con farine cinesi (meno che in italia altrimenti scoppierebbe la rivolta).. che schifo che fate!,DISGUST
937,Questa musica è troppo da sostenere,TRUST
938,Ha colpito al cuore e poi la voce della grande Sofia Loren...lacrime e voglia di non mollare. (R)Esistiamo,SENTIMENTALITY - OPTIMISM
939,Ma che sete matti cosi mi esplode er core dall'emozione... Avvertite prima no?? ,SENTIMENTALITY
940,"Alla bellezza che non smette mai di ricordarci, chi siamo <3",LOVE
941,Solo io mi commuovo con questi tipo di video,SENTIMENTALITY
942,Spot emozionante e meraviglioso❤,LOVE - SENTIMENTALITY
943,"Brividi e lacrime,è solo una pubblicità ma per noi che abbiamo vissuto gli anni 80 è molto di più!",LOVE - SENTIMENTALITY
944,"Poetica. La Barilla ha saputo coniugare il ricordo nostalgico provocato da poche note con la situazione attuale, mandando un forte segnale di speranza. il tutto per una pubblicità se ci pensate. complimenti davvero.",TRUST - SENTIMENTALITY
945,Barilla la mia pasta preferita!!!!,TRUST
946,Quante lacrime. Grazie per questo spot così emozionante ❤❤❤,LOVE - SENTIMENTALITY
947,"Bellssima, davvero commovente.",TRUST - SENTIMENTALITY
948,"La gente deve indignarsi perchè è Barilla e parlare di materie prime,qualità e coerenza anche in un omaggio simile. Fosse una volta che si parli di supporto in un momento simile,si deve vedere il marcio ovunque anche quando non serve. Forza Italia e vediamo di riprenderci presto.",TRUST - ANGER
949,mi uccide ogni volta che la vedo in tv e come se non bastasse me la guardo pure qua. è davvero meravigliosa.,SENTIMENTALITY
950,❤,LOVE
951,Che bella voce Rialziamoci e riprendiamoci il nostro posto in Europa e nel mondo.,TRUST - OPTIMISM
952,"L'ho visto prima alla TV. Bello, sentire nel sottofondo la storica musica mi ha fatto tornare indietro nel tempo,spero sia di buon auspicio per tutti e che potremo tornare a sorridere mangiando perché no un bel piatto di pasta tutti assieme a tavola. Italia coraggio ",TRUST - OPTIMISM
953,Bellissima poi presente un OSS grandissimi ❤❤,LOVE
954,"Semplicemente meravigliosa, mai pubblicità fu più azzeccata, la Loren unica splendida donna!",LOVE
955,Pasta rummo rimane la migliore,DISGUST
956,La pubblicità piú bella di tutti i tempi,TRUST
957,"Sempre una marcia in più , gli spot Barilla! ❤️",LOVE - TRUST
958,Grande sophia,LOVE
959,Sophiaaaa <3,LOVE
960,Commovente...Andrà tutto bene..,SENTIMENTALITY - OPTIMISM
961,bello dai...mandaci 2 kg di penne rigate,TRUST - ANTICIPATION
962,Non cascateci è la canzoncina di sottofondo Comunque bel video,TRUST
963,Decisamente commuovente.,SENTIMENTALITY
964,la musica dello spot anni 80 è una spada nel cuore,SENTIMENTALITY
965,Mi spiace ma la pasta al glifosato ve la potete mangiare voi.,DISGUST
966,"Ok, ho pianto",SENTIMENTALITY
967,"Bellissime queste immagini, meno belle quelle di guanti e mascherine gettate a terra da incivili, assembramenti vari e gente nel parchi e che non rispetta le regole. State a casa! Uscire per fare la spesa non significa uscire ogni giorno a prendere una rosetta. Fate scorta e uscite ogni 7/8/10 giorni!!!",TRUST - OUTRAGE
968,Dove ce Barilla ce casa!appunto restate a casa stringiamo un un'altro po i denti la sofferenza fortifica,TRUST
969,Grazie a tutti coloro che stanno lavorando per non fare mancare i generi di prima necessità,TRUST
970,Troppo bella! Grazie,TRUST
971,Ho il magone!,SENTIMENTALITY
972,"Bellissimo spot con la leggendaria musica anni 80. Mi sono commosso a vederlo. Non sono un gran fan della Barilla come azienda, ma devo farle i complimenti per il messaggio emozionale.",TRUST - SENTIMENTALITY
973,Davvero tanta roba♥️,LOVE
974,Pubblicità barilla sempre la più emozionante,SENTIMENTALITY
975,PENSO CHE QUESTO SPOT SIA IL MIGLIORE GRAZIE BARILLA,LOVE
976,Io ho pianto. Complimenti a Barilla,TRUST - SENTIMENTALITY
977,"Mossa commerciale ma che colpisce nel segno, sono un bambino degli anni 80 ☺️",SENTIMENTALITY
978,Bravi ❤️❤️,LOVE
979,"Splendido spot, la musica mi riporta agli anni 80",TRUST - SENTIMENTALITY
980,Mi veniva da piangere.... Ricordavo la vecchia pubblicità,SENTIMENTALITY
981,Ma…higuain nella copertina…,DISAPPOINTMENT
982,Quella voce e quella musica... eh...,LOVE
983,Vedere Piazza D'uomo di siracusa e squallido,DISGUST
984,"La Barilla ha donato 2 milioni all'ospedale della sua città, Parma. ❤ oltre aver costruito l'ospedale dei bambini tanti anni fa ❤",LOVE
985,Come è passata in tv la prima volta...mi sono commossa tantissimo! La musica l’adoro! riporta indietro nel tempo perché è la colonna sonora della mia infanzia! Poi...vedere una parte della mia adorata Bergamo nel 4o frame e pensare che è stata messa in ginocchio da questo maledetto virus...beh! lacrime a fiumi! ❤️,LOVE - SENTIMENTALITY
986,Sono riuscita a piangere,SENTIMENTALITY
987,Riascoltato la musica della pubblicità Barilla mi viene in mente solo uno spot il più commovente di tutti quello con il gattino viva l'Italia viva Barilla.,SENTIMENTALITY
988,"Stavo guardando il video ,finisce il video,arriva la stessa pubblicità del video Io excusme wath the fuck!!?",DISAPPOINTMENT
989,Cavolo... mi aveta fatto piangere come una bambina,SENTIMENTALITY
990,Io la pasta barilla non la do neanche al mio cane!,DISGUST
991,"Quella musica fa scattare le lacrime in automatico, dannati pubblicitari!",SENTIMENTALITY
992,"Non si poteva aprire in modo migliore, MODICA Altro che bella, Perfetta!",TRUST
993,0.04 Barilla celebra Siracusa.. Che meraviglia il Duomo...Grazie per questa emozione..!,TRUST
994,"Oh signori, lo spot può essere bello a prescindere se mangio o no la pasta Barilla? Ecchemefrega della pasta, io mangio divella, o paste locali, ma lo spot è bello comunque. Mah..",TRUST
995,Anch'io resisto e le poche volte che esco per fare la spesa evito come la peste le marche che fanno spot paraculi.,DISGUST
996,"Grande azienda....fiero di averne fatto parte, anche se per poco...",TRUST
997,Sei riuscita a farmi piangere anche stavolta. Grazie Barilla,TRUST - SENTIMENTALITY
998,Meraviglia!!!! La nostra colonna sonora che ci ha accompagnato durante il periodo più bello della nostra vita!!!! Con l'inconfondibile voce della grande Sofia Loren!!!! ❤❤❤❤❤ GRAZIE BARILLA!!!!,LOVE
999,❤️❤️❤️❤️,LOVE
1000,"Pubblicità davvero emozionante,ricorda le vecchie pubblicità Barilla degli anni 80. Ho i brividi. Complimenti Barilla!",TRUST - SENTIMENTALITY
1001,Mia amata terra italia !,LOVE
1002,Ho pianto anche io. Grazie e viva Barilla,TRUST - SENTIMENTALITY
1003,Ho pianto,SENTIMENTALITY
1004,"Pubblicità da brividi con la musica degli anni 80,la voce di Sofia Loren che descrive la situazione e quel grazie che entra nel cuore e lo trafigge❤",TRUST - SENTIMENTALITY
1005,Le pubblicità della Barilla sono state sempre belle a partire da quelle degli anni 70'&80'....il messaggio è chiaro....dobbiamo essere uniti......Forza Italia!!!!,TRUST - OPTIMISM
1006,Barilla fa sempre dei capolavori di pubblicitá da sempre. Chapeau! Ovvio é ITALIANA!!,TRUST
1007,Devo ammetterlo....una lacrima mi è scesa,SENTIMENTALITY
1008,Bellissima ❤️,LOVE
1009,Eccezionale... Il passaggio dal video alle foto è qualcosa di stupendo. Complimenti a Barilla.,TRUST
1010,"W l'Italia che lotta, nn viva l'Italia che resiste. Dopo questo spot non comprerò più Barilla",DISGUST - OPTIMIST
